state_range,action
[ 96.   1.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 92.   2.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 93.   3.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 97.   4.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 93.   5.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 92.   6.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 91.   7.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[ 94.   8.  64.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[114.    9.   64.    2.    1.5   1.    6.    0.    0.  180. ],"3,0"
[ 88.   10.   64.    3.    1.5   2.    6.    0.    0.  180. ],"0,0"
[ 60.   11.   64.    4.    1.5   3.    6.    0.    0.  180. ],"0,0"
[ 85.   12.    0.    0.    1.5   4.    6.    0.    0.  180. ],"0,1"
[ 90.  13.  87.   1.   0.   0.   6.   0.   0. 180.],"0,1"
[127.  14.  87.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[126.  15.  87.   3.   2.   2.   6.   0.   0. 180.],"0,0"
[106.  16.  87.   4.   2.   3.   6.   0.   0. 180.],"0,0"
[ 92.  17.   0.   0.   2.   4.   6.   0.   0. 180.],"0,0"
[ 48.  18.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[114.  19.   0.   0.   0.   0.   6.   0.   0. 180.],"0,2"
[112.  20.   0.   0.   0.   0.   6.   0.   0. 180.],"0,0"
[109.  21.  95.   1.   0.   0.   6.   0.   0. 180.],"0,0"
[146.  22.  95.   2.   2.   1.   6.   0.   0. 180.],"4,0"
[162.  23.  95.   3.   2.   2.   6.   0.   0. 180.],"0,0"
[135.    0.   95.    4.    2.5   3.    6.    0.    0.   60. ],"1,0"
[181.    1.    0.    0.    2.5   4.    6.    0.    0.   60. ],"0,0"
[157.   2.   0.   0.   0.   0.   6.   0.   0.  60.],"2,0"
[164.   3.   0.   0.   0.   0.   6.   0.   0.  60.],"0,0"
[169.   4.   0.   0.   1.   1.   6.   0.   0.  60.],"2,0"
[133.   5.   0.   0.   2.   2.   6.   0.   0.  60.],"2,0"
[100.   6.   0.   0.   2.   3.   6.   0.   0.  60.],"0,0"
[77.  7.  0.  0.  2.  4.  6.  0.  0. 60.],"0,0"
[105.   8.  53.   1.   0.   0.   6.   0.   0.  60.],"0,1"
[133.    9.   53.    2.    3.5   1.    6.    0.    0.   60. ],"7,0"
[121.   10.   53.    3.    3.5   2.    6.    0.    0.   60. ],"0,0"
[108.   11.   53.    4.    3.5   3.    6.    0.    0.   60. ],"0,0"
